president,enddate,Approve,Disapprove
Donald Trump,4/25/2017,43.012924,48.485387
Donald Trump,4/25/2017,42.948636,50.76658
Donald Trump,4/25/2017,43.727772,52.495022
Donald Trump,4/25/2017,41.948636,49.76658
Donald Trump,4/26/2017,43.051563,51.080389
Donald Trump,4/25/2017,40.608387,55.626013
Donald Trump,4/27/2017,43.613321,51.248116
Donald Trump,4/26/2017,39.608387,56.626013
Donald Trump,4/26/2017,40.861441,53.539189
Donald Trump,4/26/2017,40.948636,51.76658
Donald Trump,4/27/2017,42.851563,51.780389
Donald Trump,4/27/2017,43.861441,50.539189
Donald Trump,4/27/2017,41.948636,49.76658
Donald Trump,4/27/2017,33.914807,62.031268
Donald Trump,4/27/2017,41.608387,54.626013
Donald Trump,4/28/2017,43.251563,50.780389
Donald Trump,4/28/2017,42.948636,47.76658
Donald Trump,4/28/2017,43.861441,49.539189
Donald Trump,4/29/2017,43.951563,50.180389
Donald Trump,4/29/2017,42.861441,51.539189
Donald Trump,4/29/2017,38.948636,51.76658
Donald Trump,4/30/2017,41.608387,54.626013
Donald Trump,4/30/2017,44.351563,50.280389
Donald Trump,4/29/2017,40.743003,51.945964
Donald Trump,4/30/2017,47.686784,46.055805
Donald Trump,4/30/2017,41.861441,53.539189
Donald Trump,4/30/2017,43.948636,49.76658
Donald Trump,1/22/2017,44.957442,43.763923
Donald Trump,1/24/2017,42.474548,44.0507
Donald Trump,1/23/2017,44.957442,44.763923
Donald Trump,1/24/2017,45.957442,43.763923
Donald Trump,1/25/2017,42.674548,44.6507
Donald Trump,1/26/2017,42.974548,45.2507
Donald Trump,1/25/2017,41.056827,37.140717
Donald Trump,1/25/2017,45.957442,43.763923
Donald Trump,1/26/2017,44.957442,46.763923
Donald Trump,1/27/2017,44.874548,44.3507
Donald Trump,1/28/2017,45.774548,44.8507
Donald Trump,1/27/2017,41.957442,48.763923
Donald Trump,1/28/2017,41.957442,49.763923
Donald Trump,1/29/2017,48.574548,43.9507
Donald Trump,1/30/2017,47.174548,44.6507
Donald Trump,1/29/2017,42.957442,48.763923
Donald Trump,1/30/2017,44.694156,49.457367
Donald Trump,1/31/2017,45.674548,45.7507
Donald Trump,1/30/2017,42.957442,49.763923
Donald Trump,2/2/2017,42.973556,47.647346
Donald Trump,1/31/2017,42.957442,50.763923
Donald Trump,1/31/2017,43.056827,46.140717
Donald Trump,2/1/2017,45.374548,46.7507
Donald Trump,2/1/2017,42.957442,50.763923
Donald Trump,2/2/2017,45.674548,46.2507
Donald Trump,2/2/2017,43.272005,51.732341
Donald Trump,2/3/2017,45.274548,46.5507
Donald Trump,2/2/2017,42.957442,50.763923
Donald Trump,2/5/2017,42.694156,51.457367
Donald Trump,2/2/2017,40.782305,47.509023
Donald Trump,2/3/2017,43.957442,48.763923
Donald Trump,2/4/2017,45.574548,46.5507
Donald Trump,2/4/2017,43.056827,49.140717
Donald Trump,2/5/2017,47.874548,45.6507
Donald Trump,2/4/2017,41.957442,51.763923
Donald Trump,2/4/2017,47.39865,43.546209
Donald Trump,2/5/2017,41.957442,50.763923
Donald Trump,2/5/2017,43.056827,48.140717
Donald Trump,2/6/2017,47.474548,46.3507
Donald Trump,2/6/2017,41.957442,52.763923
Donald Trump,2/6/2017,41.056827,50.140717
Donald Trump,2/7/2017,47.874548,46.4507
Donald Trump,2/7/2017,40.056827,50.140717
Donald Trump,2/8/2017,47.874548,46.4507
Donald Trump,2/7/2017,41.056827,50.140717
Donald Trump,2/7/2017,42.957442,50.763923
Donald Trump,2/9/2017,48.174548,45.2507
Donald Trump,2/8/2017,42.957442,50.763923
Donald Trump,2/8/2017,39.056827,52.140717
Donald Trump,2/9/2017,41.957442,50.763923
Donald Trump,2/9/2017,41.056827,52.140717
Donald Trump,2/10/2017,47.074548,46.4507
Donald Trump,2/11/2017,47.074548,46.3507
Donald Trump,2/10/2017,40.957442,51.763923
Donald Trump,2/12/2017,42.694156,52.457367
Donald Trump,2/12/2017,46.674548,47.2507
Donald Trump,2/12/2017,40.430471,52.74177
Donald Trump,2/11/2017,39.957442,53.763923
Donald Trump,2/13/2017,46.674548,47.3507
Donald Trump,2/12/2017,40.056827,52.140717
Donald Trump,2/12/2017,39.957442,52.763923
Donald Trump,2/13/2017,42.056827,49.140717
Donald Trump,2/13/2017,39.957442,52.763923
Donald Trump,2/14/2017,45.674548,49.4507
Donald Trump,2/14/2017,43.056827,49.140717
Donald Trump,2/14/2017,39.957442,51.763923
Donald Trump,2/14/2017,38.056827,55.140717
Donald Trump,2/15/2017,46.174548,49.2507
Donald Trump,2/16/2017,46.274548,49.0507
Donald Trump,2/15/2017,41.056827,52.140717
Donald Trump,2/15/2017,39.957442,52.763923
Donald Trump,2/17/2017,45.474548,49.9507
