enddate,approval_type,rate,year
2017-03-20,approve,47.051563,2017
2017-03-20,disapprove,46.580389,2017
2017-03-19,approve,49.686784,2017
2017-03-19,disapprove,45.055805,2017
2017-03-20,approve,43.584929,2017
2017-03-20,disapprove,50.955382,2017
2017-03-21,approve,47.651563,2017
2017-03-21,disapprove,46.280389,2017
2017-03-21,approve,38.750369,2017
2017-03-21,disapprove,54.742388,2017
2017-03-20,approve,43.948636,2017
2017-03-20,disapprove,48.76658,2017
2017-03-20,approve,39.861441,2017
2017-03-20,disapprove,54.539189,2017
2017-03-21,approve,40.861441,2017
2017-03-21,disapprove,53.539189,2017
2017-03-21,approve,40.948636,2017
2017-03-21,disapprove,50.76658,2017
2017-03-23,approve,39.613321,2017
2017-03-23,disapprove,54.248116,2017
2017-03-21,approve,40.608387,2017
2017-03-21,disapprove,55.626013,2017
2017-03-21,approve,41.948636,2017
2017-03-21,disapprove,47.76658,2017
2017-03-22,approve,47.251563,2017
2017-03-22,disapprove,46.780389,2017
2017-03-22,approve,39.861441,2017
2017-03-22,disapprove,54.539189,2017
2017-03-23,approve,49.351563,2017
2017-03-23,disapprove,45.080389,2017
2017-03-22,approve,40.948636,2017
2017-03-22,disapprove,52.76658,2017
2017-03-22,approve,41.608387,2017
2017-03-22,disapprove,54.626013,2017
2017-03-23,approve,38.914807,2017
2017-03-23,disapprove,56.031268,2017
2017-03-23,approve,38.608387,2017
2017-03-23,disapprove,57.626013,2017
2017-03-23,approve,40.948636,2017
2017-03-23,disapprove,51.76658,2017
2017-03-23,approve,41.861441,2017
2017-03-23,disapprove,52.539189,2017
2017-03-24,approve,47.551563,2017
2017-03-24,disapprove,46.680389,2017
2017-03-24,approve,41.861441,2017
2017-03-24,disapprove,52.539189,2017
2017-03-25,approve,47.351563,2017
2017-03-25,disapprove,47.480389,2017
2017-03-24,approve,40.948636,2017
2017-03-24,disapprove,53.76658,2017
2017-03-25,approve,39.948636,2017
2017-03-25,disapprove,51.76658,2017
2017-03-26,approve,39.608387,2017
2017-03-26,disapprove,55.626013,2017
